id;nombre;fecha_nacimiento;clave_empleado
1;jovially chime drat;2025-11-19;yuck frizz
2;midst fatally;2025-11-18;colonialism yahoo scarily
3;wherever extremely;2025-11-19;scout until
4;intermesh;2025-11-19;incidentally throughout provision
5;ski thoroughly;2025-11-19;comestible carp before
6;devise stint;2025-11-18;yuck rise
7;lazily biodegrade;2025-11-18;from mmm far
8;in noon;2025-11-18;lean
9;strait rotten;2025-11-19;among plus
10;direct unpleasant wherever;2025-11-19;polite measly westernise
